class,n_pos,auc,threshold,f1
Atelectasis,3279,0.7533839765349549,0.6787109375,0.37526697992310976
Cardiomegaly,1069,0.8718666048446715,0.845703125,0.3734409391049156
Effusion,4658,0.817304194341625,0.72314453125,0.5170225043277553
Infiltration,6112,0.7015786160560256,0.615234375,0.48183401044689494
Mass,1748,0.7946003200475629,0.70556640625,0.3361684892669097
Nodule,1623,0.730758692150563,0.70068359375,0.2603346456692913
Pneumonia,555,0.7146933803337301,0.79736328125,0.10285714285714286
Pneumothorax,2665,0.8471871279062737,0.849609375,0.46785553723962237
Consolidation,1815,0.7359162458443397,0.78759765625,0.23625856739685527
Edema,925,0.8368630857763848,0.8876953125,0.22405832320777644
Emphysema,1093,0.9035494617441209,0.9619140625,0.4679543459174715
Fibrosis,435,0.8182913531112509,0.89599609375,0.167420814479638
Pleural_Thickening,1143,0.7618247178269282,0.7275390625,0.19732034104750304
Hernia,86,0.9406117528009992,0.99462890625,0.5333333333333333
MEAN,27206,0.8020306806656735,,0.3386518553013013
