cohort_role,cohort_stratum,selection_basis,cases
adaptation_train,AP|F|abnormal,active_qc_high_risk,7
adaptation_train,AP|F|abnormal,active_qc_representative,8
adaptation_train,AP|F|no_finding,active_qc_high_risk,7
adaptation_train,AP|F|no_finding,active_qc_representative,8
adaptation_train,AP|M|abnormal,active_qc_high_risk,7
adaptation_train,AP|M|abnormal,active_qc_representative,8
adaptation_train,AP|M|no_finding,active_qc_high_risk,7
adaptation_train,AP|M|no_finding,active_qc_representative,8
adaptation_train,PA|F|abnormal,active_qc_high_risk,7
adaptation_train,PA|F|abnormal,active_qc_representative,8
adaptation_train,PA|F|no_finding,active_qc_high_risk,7
adaptation_train,PA|F|no_finding,active_qc_representative,8
adaptation_train,PA|M|abnormal,active_qc_high_risk,7
adaptation_train,PA|M|abnormal,active_qc_representative,8
adaptation_train,PA|M|no_finding,active_qc_high_risk,7
adaptation_train,PA|M|no_finding,active_qc_representative,8
locked_target_test,AP|F|abnormal,prediction_blind_hash,5
locked_target_test,AP|F|no_finding,prediction_blind_hash,5
locked_target_test,AP|M|abnormal,prediction_blind_hash,5
locked_target_test,AP|M|no_finding,prediction_blind_hash,5
locked_target_test,PA|F|abnormal,prediction_blind_hash,5
locked_target_test,PA|F|no_finding,prediction_blind_hash,5
locked_target_test,PA|M|abnormal,prediction_blind_hash,5
locked_target_test,PA|M|no_finding,prediction_blind_hash,5
target_validation,AP|F|abnormal,active_qc_high_risk,2
target_validation,AP|F|abnormal,active_qc_representative,3
target_validation,AP|F|no_finding,active_qc_high_risk,2
target_validation,AP|F|no_finding,active_qc_representative,3
target_validation,AP|M|abnormal,active_qc_high_risk,2
target_validation,AP|M|abnormal,active_qc_representative,3
target_validation,AP|M|no_finding,active_qc_high_risk,2
target_validation,AP|M|no_finding,active_qc_representative,3
target_validation,PA|F|abnormal,active_qc_high_risk,2
target_validation,PA|F|abnormal,active_qc_representative,3
target_validation,PA|F|no_finding,active_qc_high_risk,2
target_validation,PA|F|no_finding,active_qc_representative,3
target_validation,PA|M|abnormal,active_qc_high_risk,2
target_validation,PA|M|abnormal,active_qc_representative,3
target_validation,PA|M|no_finding,active_qc_high_risk,2
target_validation,PA|M|no_finding,active_qc_representative,3
