metric,quantile,value
roi_fraction_model_space,0.0,0.0
roi_fraction_model_space,0.01,0.03704241071428564
roi_fraction_model_space,0.05,0.09732541454081628
roi_fraction_model_space,0.25,0.18400729432397953
roi_fraction_model_space,0.5,0.2322823660714285
roi_fraction_model_space,0.75,0.2739955357142857
roi_fraction_model_space,0.95,0.3370565609056122
roi_fraction_model_space,0.99,0.3774326371173469
roi_fraction_model_space,1.0,0.4130460778061224
components_after_cleanup,0.0,0.0
components_after_cleanup,0.01,2.0
components_after_cleanup,0.05,2.0
components_after_cleanup,0.25,2.0
components_after_cleanup,0.5,2.0
components_after_cleanup,0.75,2.0
components_after_cleanup,0.95,3.0499999999999545
components_after_cleanup,0.99,5.0
components_after_cleanup,1.0,9.0
removed_fraction_of_prediction,0.0,0.0
removed_fraction_of_prediction,0.01,0.0
removed_fraction_of_prediction,0.05,0.0
removed_fraction_of_prediction,0.25,0.0
removed_fraction_of_prediction,0.5,0.0
removed_fraction_of_prediction,0.75,0.0
removed_fraction_of_prediction,0.95,0.00045159318094408976
removed_fraction_of_prediction,0.99,0.0009720174420307588
removed_fraction_of_prediction,1.0,0.0019872813990461
mean_binary_entropy,0.0,0.0113701736554503
mean_binary_entropy,0.01,0.024242440443485922
mean_binary_entropy,0.05,0.027247946336865378
mean_binary_entropy,0.25,0.03362280596047635
mean_binary_entropy,0.5,0.04010601527988905
mean_binary_entropy,0.75,0.0477718142792582
mean_binary_entropy,0.95,0.06374441571533677
mean_binary_entropy,0.99,0.07818643979728214
mean_binary_entropy,1.0,0.1404702961444854
p95_binary_entropy,0.0,0.0165741145610809
p95_binary_entropy,0.01,0.0589968562126159
p95_binary_entropy,0.05,0.0914948582649231
p95_binary_entropy,0.25,0.14811663329601282
p95_binary_entropy,0.5,0.20831343531608576
p95_binary_entropy,0.75,0.2938175797462463
p95_binary_entropy,0.95,0.47198008596897123
p95_binary_entropy,0.99,0.5862015026807785
p95_binary_entropy,1.0,0.834129810333252
boundary_entropy_mean,0.0,0.0
boundary_entropy_mean,0.01,0.5093674749135971
boundary_entropy_mean,0.05,0.5273403286933899
boundary_entropy_mean,0.25,0.5820788890123367
boundary_entropy_mean,0.5,0.6325642168521881
boundary_entropy_mean,0.75,0.6811081767082214
boundary_entropy_mean,0.95,0.7624597519636154
boundary_entropy_mean,0.99,0.8294297105073928
boundary_entropy_mean,1.0,0.962870478630066
uncertain_fraction,0.0,0.0
uncertain_fraction,0.01,0.002132294323979513
uncertain_fraction,0.05,0.0027901785714285
uncertain_fraction,0.25,0.0035275829081632
uncertain_fraction,0.5,0.0043247767857142
uncertain_fraction,0.75,0.0053411989795918
uncertain_fraction,0.95,0.008032724808673439
uncertain_fraction,0.99,0.010065369897959149
uncertain_fraction,1.0,0.0213249362244897
mean_threshold_distance,0.0,0.4821329712867737
mean_threshold_distance,0.01,0.49908411681652065
mean_threshold_distance,0.05,0.5040064573287963
mean_threshold_distance,0.25,0.5119434148073196
mean_threshold_distance,0.5,0.5170190632343292
mean_threshold_distance,0.75,0.5220448076725006
mean_threshold_distance,0.95,0.5306036204099656
mean_threshold_distance,0.99,0.5385321122407913
mean_threshold_distance,1.0,0.5487744808197021
foreground_probability_mean,0.0,0.0
foreground_probability_mean,0.01,0.9039139866828918
foreground_probability_mean,0.05,0.9526961505413055
foreground_probability_mean,0.25,0.9749013036489487
foreground_probability_mean,0.5,0.9828812479972839
foreground_probability_mean,0.75,0.9862083941698074
foreground_probability_mean,0.95,0.9887495100498199
foreground_probability_mean,0.99,0.9896690893173218
foreground_probability_mean,1.0,0.990543007850647
background_confidence_mean,0.0,0.971245288848877
background_confidence_mean,0.01,0.9846361529827117
background_confidence_mean,0.05,0.9878309667110443
background_confidence_mean,0.25,0.9909867495298386
background_confidence_mean,0.5,0.9927080273628235
background_confidence_mean,0.75,0.9940139204263687
background_confidence_mean,0.95,0.9952635943889618
background_confidence_mean,0.99,0.9963173800706865
background_confidence_mean,1.0,0.9987744688987732
active_qc_risk_score,0.0,0.058425
active_qc_risk_score,0.01,0.10654737500000001
active_qc_risk_score,0.05,0.166758125
active_qc_risk_score,0.25,0.32966249999999997
active_qc_risk_score,0.5,0.4965875
active_qc_risk_score,0.75,0.6662000000000001
active_qc_risk_score,0.95,0.84787
active_qc_risk_score,0.99,0.93070475
active_qc_risk_score,1.0,0.989075
active_qc_priority_score,0.0,0.058425
active_qc_priority_score,0.01,0.10654737500000001
active_qc_priority_score,0.05,0.166758125
active_qc_priority_score,0.25,0.32966249999999997
active_qc_priority_score,0.5,0.4972125
active_qc_priority_score,0.75,0.675553125
active_qc_priority_score,0.95,0.8999600000000001
active_qc_priority_score,0.99,2.5420907500000003
active_qc_priority_score,1.0,3.3989125
