case_index,split,original_height,original_width,model_size,threshold,roi_fraction_model_space,roi_fraction_original_space,touches_border_model_space,is_nonempty,is_plausible,components_before_cleanup,components_after_cleanup,components_original_space,removed_pixels_model_space,removed_fraction_of_prediction,automatic_qc_flag,technical_visual_status
1,train,1024,1024,224,0.5499999999999999,0.2749322385204081,0.275054931640625,False,True,True,2,2,2,0,0.0,False,focused_review_recommended
2,train,1024,1024,224,0.5499999999999999,0.257015306122449,0.2570438385009765,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
3,train,1024,1024,224,0.5499999999999999,0.3196548150510204,0.3195657730102539,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
4,train,1024,1024,224,0.5499999999999999,0.2643494897959184,0.2642374038696289,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
5,train,1024,1024,224,0.5499999999999999,0.3253547512755102,0.3253145217895508,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
6,train,1024,1024,224,0.5499999999999999,0.2545639349489796,0.2545890808105469,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
7,train,1024,1024,224,0.5499999999999999,0.2799744897959184,0.2799129486083984,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
8,train,1024,1024,224,0.5499999999999999,0.3141741071428571,0.3141822814941406,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
9,train,1024,1024,224,0.5499999999999999,0.2041812818877551,0.2041645050048828,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
10,train,1024,1024,224,0.5499999999999999,0.1347257653061224,0.1346673965454101,False,True,True,5,3,3,3,0.0004435901227266,False,probable_undersegmentation
11,train,1024,1024,224,0.5499999999999999,0.2130102040816326,0.2128934860229492,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
12,train,1024,1024,224,0.5499999999999999,0.0709701849489796,0.0709791183471679,False,True,True,6,5,5,2,0.0005613247263541,True,clear_major_failure
13,train,1024,1024,224,0.5499999999999999,0.3105070153061224,0.3105754852294922,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
14,train,1024,1024,224,0.5499999999999999,0.3144132653061224,0.3144588470458984,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
15,train,1024,1024,224,0.5499999999999999,0.2754304846938775,0.2753763198852539,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
16,train,1024,1024,224,0.5499999999999999,0.163524394132653,0.1634187698364257,False,True,True,2,2,2,0,0.0,False,probable_undersegmentation
17,val,1024,1024,224,0.5499999999999999,0.3187380420918367,0.3188257217407226,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
18,val,1024,1024,224,0.5499999999999999,0.2881257971938775,0.2880773544311523,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
19,val,1024,1024,224,0.5499999999999999,0.1651387117346938,0.1651239395141601,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
20,val,1024,1024,224,0.5499999999999999,0.2041015625,0.2040987014770507,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
21,val,1024,1024,224,0.5499999999999999,0.3378706951530612,0.337860107421875,False,True,True,3,3,3,0,0.0,False,focused_review_recommended
22,val,1024,1024,224,0.5499999999999999,0.3588169642857143,0.3588733673095703,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
23,val,1024,1024,224,0.5499999999999999,0.269710618622449,0.2697324752807617,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
24,val,1024,1024,224,0.5499999999999999,0.2449976084183673,0.2449779510498047,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
25,val,1024,1024,224,0.5499999999999999,0.2675183354591837,0.2675714492797851,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
26,val,1024,1024,224,0.5499999999999999,0.166454081632653,0.1664800643920898,False,True,True,2,2,2,0,0.0,False,probable_undersegmentation
27,val,1024,1024,224,0.5499999999999999,0.1578842474489795,0.1578798294067382,False,True,True,2,2,2,0,0.0,False,focused_review_recommended
28,val,1024,1024,224,0.5499999999999999,0.1890744579081632,0.1890535354614257,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
29,val,1024,1024,224,0.5499999999999999,0.3665098852040816,0.3666133880615234,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
30,val,1024,1024,224,0.5499999999999999,0.2608617665816326,0.2608776092529297,False,True,True,2,2,2,0,0.0,False,appears_acceptable_in_composite_review
31,val,1024,1024,224,0.5499999999999999,0.3455038265306122,0.345585823059082,False,True,True,3,2,2,2,0.0001153535586572,False,appears_acceptable_in_composite_review
32,val,1024,1024,224,0.5499999999999999,0.1109095982142857,0.1108779907226562,False,True,True,3,2,2,1,0.0001796622349982,False,clear_major_failure
