target_label,method,deletion_auc_count,deletion_auc_mean,deletion_auc_median,deletion_auc_std,insertion_auc_count,insertion_auc_mean,insertion_auc_median,insertion_auc_std,faithfulness_gap_count,faithfulness_gap_mean,faithfulness_gap_median,faithfulness_gap_std,stability_spearman_count,stability_spearman_mean,stability_spearman_median,stability_spearman_std,lung_roi_concentration_count,lung_roi_concentration_mean,lung_roi_concentration_median,lung_roi_concentration_std,lung_roi_enrichment_count,lung_roi_enrichment_mean,lung_roi_enrichment_median,lung_roi_enrichment_std
Atelectasis,grad_cam,20,0.1489470403641462,0.15034704655408854,0.053439078843813166,20,0.3454486630856991,0.3399766981601715,0.19058412346054515,20,0.19650162272155286,0.1386643722653389,0.15535715210004142,20,0.8820499046782823,0.99759305090467,0.30357116449091837,20,0.2718207312747836,0.3046276569366455,0.15671222748977023,20,1.314254094689727,1.2337684889146496,0.8949680070441646
Atelectasis,integrated_gradients,20,0.13791861087083812,0.135617621243,0.030176672599807535,20,0.13466466218233106,0.13323058187961576,0.05005858899534429,20,-0.0032539486885070725,-0.0075054392218589505,0.04705111433159882,20,0.9613540292905352,0.9610086011397488,0.005858880418299044,20,0.18121474869549273,0.1731499284505844,0.061031076812724856,20,0.7955422522107343,0.7347237556979548,0.242735807041162
Cardiomegaly,grad_cam,20,0.06727544912137087,0.06188335455954071,0.040288115362751495,20,0.3293873004615307,0.25872271507978434,0.25224469947675965,20,0.2621118513401598,0.19193789921700954,0.21644321962361313,20,0.934127051392527,0.9930508554652853,0.22216277905554216,20,0.27176737487316127,0.2748734652996063,0.13183435681826036,20,1.2259591139659676,1.2627506149889354,0.6288816290162698
Cardiomegaly,integrated_gradients,20,0.05454112812876697,0.049957340583205154,0.02630474927128856,20,0.059861782100051594,0.047725558280944796,0.04831714705597933,20,0.0053206539712846255,-0.0034769186750055,0.029978819087981532,20,0.9680876786790819,0.9700891006812956,0.005693391857809065,20,0.17678075954318043,0.17567929625511164,0.04042124028786761,20,0.8078778524680601,0.7644717240845966,0.23750518074820814
Consolidation,grad_cam,20,0.15248233042657372,0.14766559749841685,0.0437430667365669,20,0.2351497527211904,0.19667077064514155,0.10149022737283328,20,0.0826674222946167,0.06176003068685529,0.08010646846641102,20,0.9747806244643169,0.9927638533696803,0.04337289559321716,20,0.11664200354701956,0.12235466763377185,0.10854526003937383,20,0.7212245412094368,0.792271209066268,0.6515030081602672
Consolidation,integrated_gradients,20,0.10546279586851592,0.0997919701039791,0.03325584500675906,20,0.0910685837268829,0.0790786929428577,0.034813976734409564,20,-0.014394212141633047,-0.01364082098007205,0.023397473245807283,20,0.961466830559214,0.9628667062093252,0.010594496827630667,20,0.17151369713246817,0.176253966987133,0.06120048261685833,20,0.9408310123104231,0.8751516490550895,0.28569027829966714
Edema,grad_cam,20,0.08493638075888153,0.0831877328455448,0.031150992460673863,20,0.2242034250870347,0.1857071444392204,0.15724828583906617,20,0.13926704432815312,0.110499020665884,0.13708798676176948,20,0.9879162049975582,0.9953373791767972,0.023933519530712658,20,0.2722657774866093,0.3396543711423874,0.2069786735715155,20,1.2284032536022986,1.604012315103259,0.9374874157035578
Edema,integrated_gradients,20,0.13194753248244523,0.1362172961235046,0.03226084406308484,20,0.12700734660029406,0.12834658473730085,0.03294424002228434,20,-0.004940185882151131,-0.004261076450347914,0.026717114486105396,20,0.9644506164294663,0.9649602401585521,0.005161393855607247,20,0.2141728118062019,0.21397472918033594,0.06770982193520642,20,0.9692461957448847,0.9698857562913537,0.2334191375417458
Effusion,grad_cam,20,0.20674350168555972,0.2002240717411041,0.11493432363189868,20,0.49139703065156937,0.4324030876159668,0.20966162101445157,20,0.28465352896600965,0.24194779247045517,0.13536322998596076,20,0.9933928221713397,0.9975767998096141,0.007608669477867885,20,0.21797424554824824,0.23429364711046213,0.0789767585328248,20,1.0266645804752668,1.134359517702371,0.4318779383329909
Effusion,integrated_gradients,20,0.11954615600407119,0.12768705189228055,0.0369636043406133,20,0.14754490405321116,0.12581612914800638,0.08626515320248121,20,0.02799874804913997,0.0192996859550476,0.07265582260853116,20,0.9689451994703943,0.970010177215097,0.0044702627192009575,20,0.1615873977541923,0.14547571539878845,0.0414946098816121,20,0.7440392936493396,0.7696885638344992,0.17908206681608194
Emphysema,grad_cam,20,0.05399180678650732,0.042065680027008,0.0295137461522699,20,0.23664145655930038,0.11007864028215406,0.26170666204198534,20,0.18264964977279305,0.056315110065042945,0.23624444961430074,20,0.9821902871098362,0.9976587828474919,0.03938147377426317,20,0.25282232864701654,0.2521783113479614,0.2124641755615294,20,0.8840573442748912,1.1349003499156103,0.650437101898238
Emphysema,integrated_gradients,20,0.02938747736625369,0.02044738363474605,0.017308313647982524,20,0.05529077518731351,0.03582475706934925,0.03446181600828667,20,0.025903297821059823,0.015590217430144548,0.022187365668188127,20,0.9646003472908676,0.9652494348515014,0.005721843927686627,20,0.20914161205291742,0.18654626607894895,0.08412692574780718,20,0.7290787013457087,0.7130327393292387,0.15281817237489287
Fibrosis,grad_cam,20,0.07206264007836576,0.07004616409540175,0.025302766591898458,20,0.13154893908649679,0.1222322657704353,0.08230783718418679,20,0.059486299008131016,0.04726344719529155,0.06446529526239403,20,0.8753240740309616,0.971846111438328,0.30082242974355256,20,0.3890852989912673,0.47871458530426025,0.2775285078472046,20,1.6995966913982468,1.8731937542448673,1.2641015340119335
Fibrosis,integrated_gradients,20,0.05116953793913122,0.05461527593433855,0.014796968864892292,20,0.07866715434938665,0.07931862398982045,0.02107394770415388,20,0.027497616410255433,0.025855923071503605,0.011341307946733114,20,0.9637972661370252,0.9646628354890201,0.004252047093662624,20,0.22121424004435536,0.22177459299564362,0.06533693833208638,20,0.912798847056804,0.9060657854349871,0.21264606867356015
Infiltration,grad_cam,20,0.17019442617893216,0.1620400547981262,0.032116122408468624,20,0.25252749919891354,0.24684676527976984,0.06796071063355051,20,0.08233307301998137,0.06956796348094946,0.046830559085933185,20,0.9683438765073522,0.9883041706523117,0.04551343760591281,20,0.33528725914657115,0.2756063640117645,0.2758702597102727,20,1.4336835726791686,1.7269993313094958,1.006441078747469
Infiltration,integrated_gradients,20,0.22445102408528322,0.21814819425344467,0.032714780603974786,20,0.18279927298426624,0.17067370563745493,0.04624215519721375,20,-0.04165175110101702,-0.039849437773227706,0.02699877193843132,20,0.9590490845765393,0.9574767166936421,0.005512653264322341,20,0.18913077265024184,0.19961603730916977,0.06978688181772691,20,0.821699777928458,0.8501623275221648,0.18812684700847207
Mass,grad_cam,20,0.22328306026756758,0.2147746458649635,0.08742984768433516,20,0.4217065628618002,0.3836963623762131,0.24484039215940506,20,0.19842350259423255,0.17920808494091034,0.18431182250566264,20,0.9918057290650845,0.9953425980916568,0.01116826775447884,20,0.2518769748015521,0.283849760890007,0.17554671185013132,20,1.1869490417835469,0.9450101297418472,0.8983121818349973
